aX,aY,aZ,gX,gY,gZ
0.670,0.669,-0.135,-7.690,5.920,-14.160
0.675,0.684,-0.145,-8.972,6.897,-11.414
0.677,0.723,-0.150,-10.193,7.385,-9.521
0.687,0.757,-0.155,-11.719,7.202,-9.216
0.698,0.773,-0.168,-11.475,7.080,-10.681
0.687,0.766,-0.173,-10.010,4.944,-13.306
0.700,0.754,-0.177,-9.888,1.831,-14.709
0.704,0.736,-0.143,-9.583,-2.258,-15.564
0.705,0.713,-0.119,-9.888,-3.967,-16.602
0.701,0.673,-0.110,-10.010,-2.686,-17.151
0.688,0.635,-0.122,-10.437,-0.671,-16.663
0.678,0.621,-0.122,-10.742,0.244,-15.137
0.690,0.637,-0.119,-10.803,0.977,-12.878
0.704,0.661,-0.133,-10.132,2.808,-11.536
0.705,0.685,-0.151,-8.911,3.906,-10.864
0.709,0.693,-0.167,-7.446,3.540,-10.498
0.713,0.700,-0.187,-7.324,1.770,-10.132
0.711,0.719,-0.161,-7.812,-1.709,-9.338
0.716,0.738,-0.136,-8.301,-3.784,-9.277
0.717,0.728,-0.147,-8.423,-2.991,-11.108
0.713,0.699,-0.143,-7.690,-2.930,-12.695
0.713,0.681,-0.120,-7.080,-4.028,-13.184
0.715,0.656,-0.103,-6.714,-4.578,-13.733
0.724,0.637,-0.105,-5.920,-3.479,-14.099
0.729,0.632,-0.116,-4.944,-1.953,-13.367
0.732,0.638,-0.138,-4.517,-0.549,-12.329
0.738,0.645,-0.159,-3.662,0.122,-11.780
0.734,0.641,-0.164,-2.502,-1.099,-11.047
0.718,0.645,-0.163,-2.869,-2.319,-10.559
0.704,0.639,-0.162,-4.089,-1.892,-10.559
0.699,0.630,-0.167,-4.639,-1.587,-10.071
0.703,0.623,-0.153,-5.493,-2.014,-9.521
0.707,0.614,-0.134,-6.165,-2.197,-8.850
0.714,0.622,-0.113,-6.470,-2.625,-7.874
0.724,0.630,-0.089,-6.104,-2.808,-7.629
0.729,0.639,-0.083,-4.517,-2.380,-7.874
0.728,0.630,-0.094,-2.686,-1.709,-8.301
0.729,0.624,-0.103,-1.099,-1.892,-8.545
0.724,0.618,-0.110,-0.122,-2.197,-8.240
0.709,0.616,-0.113,-0.305,-2.014,-7.629
0.711,0.621,-0.118,-1.343,-0.854,-6.348
0.711,0.623,-0.135,-3.418,0.000,-5.310
0.714,0.624,-0.118,-4.211,-0.671,-4.211
0.719,0.625,-0.115,-4.822,-0.366,-3.357
0.716,0.622,-0.127,-5.798,1.709,-2.808
0.712,0.631,-0.137,-6.836,3.601,-2.197
0.715,0.643,-0.146,-7.690,4.883,-1.892
0.710,0.662,-0.174,-8.301,5.249,-1.953
0.716,0.672,-0.188,-7.812,3.479,-2.441
0.723,0.670,-0.177,-6.104,0.122,-3.113
0.734,0.667,-0.168,-5.249,-1.587,-3.784
0.738,0.664,-0.171,-5.127,-2.014,-4.089
0.733,0.655,-0.162,-5.920,-2.502,-4.395
0.731,0.655,-0.156,-6.897,-2.930,-4.517
0.740,0.673,-0.145,-7.690,-3.113,-4.150
0.752,0.676,-0.133,-7.812,-3.357,-4.700
0.753,0.664,-0.125,-7.202,-3.479,-5.920
0.750,0.653,-0.134,-6.775,-2.930,-7.019
0.740,0.637,-0.126,-6.653,-2.441,-8.118
0.736,0.626,-0.121,-6.653,-1.526,-8.362
0.734,0.608,-0.131,-6.836,0.610,-8.728
0.753,0.604,-0.157,-6.409,2.686,-7.996
0.759,0.622,-0.157,-6.958,0.977,-6.165
0.758,0.626,-0.123,-6.409,-2.197,-6.470
0.764,0.619,-0.116,-4.578,-2.441,-7.385
0.770,0.612,-0.121,-2.869,-1.831,-8.057
0.766,0.608,-0.116,-2.441,-1.770,-8.484
0.763,0.600,-0.112,-2.625,-1.709,-8.606
0.751,0.581,-0.121,-2.808,-0.732,-8.362
0.749,0.569,-0.136,-3.296,0.061,-7.751
0.742,0.566,-0.126,-3.540,0.671,-6.775
0.760,0.583,-0.139,-3.906,1.282,-5.737
0.769,0.569,-0.168,-2.747,2.380,-5.127
0.770,0.584,-0.169,-2.014,0.916,-4.761
0.783,0.612,-0.156,-0.793,-0.549,-4.089
0.795,0.636,-0.156,-0.061,-1.221,-3.967

1.499,-0.265,-1.063,-27.954,7.019,-33.264
1.369,-0.611,-1.156,-39.001,6.653,-43.457
1.207,-1.105,-1.387,-52.979,11.536,-51.697
0.918,-1.493,-1.404,-61.462,8.179,-33.081
0.650,-1.806,-1.357,-71.106,-1.953,-3.784
0.423,-1.960,-1.175,-73.975,-15.869,36.316
0.324,-1.866,-0.894,-63.843,-26.917,85.754
0.271,-1.594,-0.492,-33.508,-37.048,132.019
0.163,-1.304,-0.043,23.132,-55.481,168.274
-0.031,-0.901,0.400,101.196,-78.369,196.960
-0.343,-0.212,0.845,173.340,-97.656,223.145
-0.470,0.845,1.223,224.976,-114.990,245.422
-0.222,2.117,1.524,238.953,-122.498,252.869
0.041,3.154,1.622,227.295,-110.168,235.779
0.117,3.883,1.464,197.632,-80.017,188.110
0.055,3.916,1.074,157.166,-46.692,113.464
-0.235,3.285,0.874,114.624,-35.278,34.424
-0.348,2.590,1.113,74.829,-45.105,-15.198
-0.332,2.162,1.495,25.391,-50.354,-29.419
-0.184,1.972,1.746,-23.437,-35.645,-27.710
-0.014,1.793,1.727,-46.082,-5.676,-30.151
0.123,1.548,1.489,-45.288,27.161,-38.879
0.180,1.356,1.168,-34.546,52.307,-45.532
0.121,1.140,0.769,-20.630,71.228,-51.392
0.001,0.948,0.322,-8.972,85.876,-56.030
-0.012,0.770,-0.160,-4.517,93.506,-56.458
0.033,0.727,-0.430,-9.094,81.726,-48.096
0.132,0.752,-0.428,-15.930,53.284,-37.048
0.285,0.793,-0.213,-20.447,25.024,-30.151
0.427,0.789,-0.024,-23.132,11.536,-29.358
0.506,0.738,0.063,-22.827,11.169,-33.203
0.546,0.589,0.047,-19.043,15.259,-38.391
0.549,0.490,0.033,-12.756,16.602,-37.354
0.552,0.430,0.020,-8.362,17.578,-30.151
0.569,0.419,0.000,-2.197,18.250,-20.752
0.609,0.429,-0.031,2.014,18.921,-11.536
0.632,0.451,-0.061,4.822,17.944,-4.883
0.693,0.518,-0.074,6.165,16.724,0.854
0.733,0.607,-0.081,5.676,15.198,3.906
0.771,0.696,-0.095,3.479,14.221,4.761
0.795,0.736,-0.087,1.160,12.085,2.502
0.813,0.754,-0.072,-0.244,9.338,-1.160
0.807,0.739,-0.068,-0.854,7.874,-4.700
0.810,0.720,-0.052,-1.587,5.615,-7.874
0.801,0.700,-0.012,-3.052,2.808,-9.644
0.801,0.677,0.008,-4.089,1.648,-10.315
0.806,0.683,0.028,-5.676,1.404,-9.583
0.806,0.693,0.020,-6.836,2.197,-9.033
0.776,0.685,0.015,-7.690,4.089,-9.644
0.754,0.676,0.013,-8.301,5.554,-10.132
0.753,0.655,0.001,-9.277,6.165,-10.620
0.768,0.635,0.007,-9.583,6.714,-10.620
0.784,0.637,0.001,-10.132,7.446,-10.559
0.789,0.631,-0.016,-9.521,8.484,-10.620
0.791,0.646,-0.025,-8.301,9.033,-10.071
0.803,0.662,-0.040,-7.935,8.850,-9.888
0.800,0.688,-0.038,-8.667,8.484,-10.376
0.799,0.712,-0.037,-10.071,9.155,-11.108
0.799,0.714,-0.036,-11.597,9.644,-13.489
0.799,0.679,-0.042,-11.963,9.644,-16.418
0.793,0.644,-0.061,-13.306,9.033,-17.578
0.788,0.628,-0.038,-14.038,6.042,-17.883
0.794,0.603,-0.038,-13.611,4.761,-17.395
0.810,0.607,-0.033,-12.146,4.944,-16.724
0.811,0.594,-0.039,-11.353,5.859,-16.846
0.788,0.580,-0.044,-11.414,6.470,-17.029
0.770,0.574,-0.031,-11.230,6.287,-15.930
0.781,0.582,-0.034,-11.719,6.104,-14.404
0.793,0.572,-0.034,-10.986,5.920,-13.794
0.795,0.558,-0.028,-10.254,5.798,-13.184
0.802,0.567,-0.019,-10.315,5.432,-11.902
0.822,0.589,-0.022,-10.315,5.432,-11.597
0.836,0.599,-0.041,-9.399,6.653,-12.695
0.831,0.588,-0.052,-7.385,7.690,-13.733
0.805,0.572,-0.049,-5.981,7.935,-14.282
0.812,0.577,-0.054,-6.287,7.385,-13.855
0.809,0.593,-0.043,-6.226,5.920,-12.878
0.803,0.592,-0.030,-5.615,5.493,-12.634
0.796,0.588,-0.016,-5.554,6.958,-12.085
0.796,0.585,-0.020,-5.676,9.399,-11.475
0.804,0.586,-0.025,-5.615,11.780,-11.353
0.815,0.577,-0.047,-6.165,14.099,-11.719
0.812,0.567,-0.084,-6.348,15.198,-11.719
0.820,0.565,-0.094,-5.615,13.672,-10.620
0.801,0.563,-0.090,-5.676,11.414,-10.010
0.788,0.568,-0.092,-6.531,10.498,-8.911
0.801,0.583,-0.079,-7.324,10.986,-7.629
0.798,0.598,-0.072,-8.423,12.390,-6.531
0.795,0.594,-0.082,-10.132,14.221,-6.348
0.796,0.589,-0.077,-11.902,14.893,-6.409
0.785,0.583,-0.094,-12.878,15.137,-6.592
0.779,0.565,-0.114,-12.512,15.320,-7.202
0.774,0.545,-0.115,-12.268,15.259,-7.751
0.765,0.528,-0.117,-12.634,16.052,-7.935
0.769,0.522,-0.136,-12.329,15.991,-7.446
0.770,0.512,-0.144,-11.230,14.343,-7.141
0.756,0.520,-0.139,-10.132,12.512,-6.409
0.768,0.547,-0.142,-9.216,11.353,-5.737
0.785,0.572,-0.138,-8.362,10.193,-5.798
0.771,0.573,-0.146,-7.751,9.827,-6.775
0.763,0.563,-0.151,-7.202,9.583,-7.507
0.772,0.564,-0.140,-7.446,8.484,-7.690
0.777,0.565,-0.135,-8.484,8.240,-7.751
0.772,0.564,-0.121,-9.216,8.057,-7.996
0.766,0.578,-0.099,-9.460,7.996,-8.301
0.778,0.569,-0.079,-8.850,9.155,-8.911
0.767,0.566,-0.043,-6.714,10.254,-8.667
0.780,0.554,-0.096,-5.127,14.587,-9.216
0.789,0.538,-0.089,-3.540,17.395,-11.047
0.784,0.527,-0.101,-3.845,20.203,-11.414
0.760,0.527,-0.104,-4.089,24.109,-11.414
0.770,0.539,-0.110,-3.967,27.771,-11.292
0.784,0.510,-0.167,-2.625,28.931,-12.756
0.799,0.511,-0.169,-4.395,31.189,-12.573
0.784,0.530,-0.196,-8.118,31.921,-9.888
0.788,0.492,-0.231,-9.583,30.273,-8.240
0.774,0.518,-0.211,-10.254,25.024,-5.127
0.762,0.532,-0.156,-9.399,20.813,-3.723
0.771,0.568,-0.155,-9.460,19.958,-3.906

-0.311,1.840,0.969,-5.310,-63.416,133.057
-0.310,2.025,0.981,-28.076,-34.180,113.953
-0.169,1.913,0.745,-28.198,0.610,81.177
-0.147,1.842,0.638,-19.592,9.644,55.786
-0.339,1.798,0.668,-13.428,1.038,34.912
-0.381,1.528,0.408,0.305,10.437,6.409
-0.422,1.352,0.258,12.085,11.902,-8.728
-0.430,1.186,0.145,18.494,3.235,-13.611
-0.359,1.138,0.182,16.113,-2.869,-11.353
-0.279,1.153,0.226,9.705,0.000,-9.399
-0.219,1.159,0.193,4.395,9.277,-13.000
-0.177,1.186,0.161,-1.465,16.052,-16.296
-0.125,1.188,0.125,-4.639,17.517,-22.705
-0.090,1.146,0.123,-1.953,15.015,-31.982
-0.073,1.093,0.126,3.052,11.841,-39.917
-0.050,1.038,0.091,7.629,12.573,-47.119
-0.020,0.986,0.044,8.728,15.808,-53.284
0.033,0.942,-0.045,5.127,17.944,-57.434
0.073,0.911,-0.041,2.808,13.245,-56.091
0.130,0.889,-0.030,-2.747,8.484,-53.589
0.171,0.872,-0.017,-8.240,8.057,-52.490
0.195,0.867,-0.049,-9.460,6.775,-51.270
0.223,0.872,-0.015,-6.104,3.479,-49.133
0.259,0.907,-0.002,-6.042,2.991,-48.096
0.314,0.953,-0.025,-7.141,7.324,-49.622
0.357,0.950,-0.049,-4.822,10.315,-53.467
0.376,0.976,-0.076,-3.723,10.498,-56.580
0.363,0.923,-0.096,-1.648,10.986,-60.791
0.358,0.873,-0.165,1.404,15.625,-63.782
0.394,0.871,-0.193,4.211,14.099,-62.317
0.414,0.883,-0.187,5.188,10.803,-60.852
0.411,0.864,-0.169,5.554,8.118,-61.218
0.417,0.855,-0.151,3.601,8.728,-61.890
0.408,0.841,-0.152,-2.319,13.916,-62.866
0.438,0.851,-0.159,-7.080,18.555,-62.256
0.505,0.880,-0.165,-12.207,18.616,-61.523
0.525,0.843,-0.146,-10.864,14.587,-63.171
0.526,0.809,-0.124,-6.042,10.742,-64.026
0.540,0.772,-0.155,-3.845,11.047,-63.477
0.553,0.754,-0.171,-3.418,9.827,-61.768
0.545,0.753,-0.142,-4.883,7.690,-59.998
0.566,0.804,-0.155,-7.141,10.864,-59.204
0.609,0.887,-0.149,-11.292,13.184,-60.608
0.649,0.923,-0.189,-15.991,19.592,-65.918
0.618,0.883,-0.219,-12.268,21.301,-72.693
0.545,0.774,-0.226,-4.517,18.494,-77.820
0.516,0.686,-0.247,-1.343,17.334,-79.285
0.537,0.648,-0.285,-2.747,16.479,-75.806
0.533,0.584,-0.263,-2.563,13.794,-70.496
0.585,0.594,-0.319,-3.357,11.108,-62.500
0.620,0.632,-0.294,-4.700,4.395,-52.673
0.662,0.690,-0.251,-5.188,-2.502,-45.471
0.705,0.783,-0.183,-5.066,-4.517,-42.297
0.765,0.874,-0.172,-8.606,-1.831,-43.518
0.772,0.889,-0.162,-8.911,0.549,-48.462
0.752,0.868,-0.133,-5.737,-0.793,-54.688
0.725,0.777,-0.141,0.488,-1.648,-60.974
0.704,0.670,-0.167,7.568,-1.953,-65.125
0.694,0.608,-0.202,11.902,-2.197,-65.002
0.705,0.572,-0.246,11.597,-2.380,-62.195
0.706,0.564,-0.282,12.268,-2.502,-56.824
0.747,0.600,-0.303,11.169,-4.578,-49.500
0.744,0.623,-0.297,8.179,-7.935,-43.091
0.757,0.649,-0.277,4.028,-11.108,-38.635
0.767,0.691,-0.245,-0.183,-12.207,-35.095
0.798,0.732,-0.239,-5.493,-11.353,-33.386
0.818,0.744,-0.223,-7.812,-11.169,-34.058
0.841,0.762,-0.181,-8.972,-12.512,-36.072
0.841,0.760,-0.148,-9.827,-13.489,-40.222
0.838,0.732,-0.121,-9.949,-12.878,-45.227
0.813,0.694,-0.107,-9.766,-12.146,-50.171
0.807,0.625,-0.101,-9.949,-11.230,-54.626
0.798,0.549,-0.116,-7.202,-9.827,-56.152
0.766,0.477,-0.104,-5.188,-9.766,-54.382
0.776,0.458,-0.123,-5.493,-9.155,-49.683
0.758,0.427,-0.122,-4.395,-8.362,-43.274
0.777,0.448,-0.134,-4.089,-7.812,-36.255
0.778,0.461,-0.115,-4.761,-7.080,-30.334
0.805,0.502,-0.142,-6.897,-4.700,-25.574
0.816,0.533,-0.144,-8.118,-2.808,-23.254
0.826,0.559,-0.154,-9.949,-1.526,-22.522
0.815,0.566,-0.165,-10.498,-0.793,-23.193
0.793,0.556,-0.173,-11.230,-0.244,-24.841
0.791,0.530,-0.177,-12.329,-0.610,-26.123
0.806,0.500,-0.184,-11.963,-1.648,-26.489
0.822,0.490,-0.168,-11.292,-2.502,-25.391
0.836,0.478,-0.160,-10.803,-3.296,-23.682
0.839,0.464,-0.145,-9.949,-4.150,-21.729
0.855,0.470,-0.133,-10.010,-3.601,-18.738
0.855,0.470,-0.147,-10.315,-2.075,-15.625
0.836,0.468,-0.149,-10.864,-0.793,-12.817
0.828,0.478,-0.152,-11.719,1.099,-9.949
0.834,0.498,-0.161,-13.123,3.784,-7.385
0.837,0.522,-0.169,-13.550,5.676,-5.798
0.850,0.548,-0.177,-13.000,5.432,-5.615
0.865,0.585,-0.176,-12.207,3.113,-7.263
0.860,0.577,-0.194,-9.216,-0.366,-10.681
0.846,0.536,-0.189,-4.089,-4.028,-14.587
0.824,0.500,-0.186,-0.610,-5.737,-16.785
0.810,0.475,-0.177,0.549,-5.493,-16.968
0.815,0.473,-0.179,-0.366,-3.967,-15.137
0.822,0.475,-0.183,-2.808,-1.648,-13.184
0.812,0.468,-0.174,-5.005,-0.061,-11.353
0.820,0.472,-0.168,-6.836,1.587,-9.705
0.830,0.466,-0.168,-7.812,3.235,-8.606
0.812,0.452,-0.156,-7.446,3.845,-7.935
0.808,0.443,-0.158,-6.531,4.089,-6.958
0.821,0.452,-0.155,-4.761,3.357,-5.859
0.843,0.472,-0.169,-3.540,2.319,-5.310
0.842,0.462,-0.174,-2.014,1.160,-5.432
0.824,0.441,-0.177,-1.282,1.160,-5.615
0.826,0.437,-0.183,-2.075,2.441,-4.517
0.833,0.443,-0.185,-3.479,3.418,-3.052
0.835,0.456,-0.182,-4.456,4.578,-1.831
0.841,0.472,-0.188,-5.249,5.798,-0.793
0.848,0.478,-0.190,-5.188,6.409,-0.061
0.843,0.488,-0.175,-4.456,5.798,0.305
0.861,0.510,-0.177,-4.272,5.371,0.305
0.883,0.526,-0.173,-3.662,4.211,-0.427

-0.445,1.810,0.625,45.532,-32.715,92.285
-0.412,1.852,0.640,36.743,-28.503,72.266
-0.387,1.834,0.660,21.912,-26.062,51.270
-0.389,1.826,0.711,4.150,-24.902,33.997
-0.363,1.683,0.721,-6.714,-16.968,16.785
-0.294,1.552,0.677,-18.433,-6.897,3.906
-0.230,1.456,0.614,-27.344,-0.427,-3.052
-0.166,1.345,0.574,-28.748,3.845,-9.583
-0.086,1.258,0.518,-26.062,7.202,-15.259
-0.029,1.225,0.477,-19.043,10.498,-18.250
0.015,1.169,0.387,-8.911,13.184,-23.804
0.025,1.108,0.306,2.014,13.062,-30.090
0.042,1.038,0.246,10.254,11.719,-34.302
0.083,0.986,0.203,12.634,11.414,-37.109
0.101,0.952,0.176,10.681,11.536,-37.720
0.126,0.948,0.149,6.958,13.306,-34.912
0.151,0.946,0.121,4.395,14.832,-33.569
0.208,0.952,0.122,4.150,10.315,-34.851
0.228,0.974,0.155,5.127,1.282,-36.011
0.295,0.962,0.194,5.249,-0.061,-35.767
0.328,0.950,0.196,2.319,3.418,-38.147
0.331,0.900,0.148,-0.610,5.981,-39.917
0.353,0.871,0.103,-4.578,8.911,-41.138
0.389,0.822,0.092,-10.315,9.827,-42.847
0.423,0.826,0.128,-13.733,7.874,-37.720
0.458,0.861,0.159,-16.724,7.446,-33.875
0.480,0.848,0.175,-15.930,8.301,-33.447
0.475,0.845,0.196,-12.695,7.996,-34.485
0.471,0.834,0.190,-8.911,8.911,-36.438
0.456,0.841,0.165,-4.700,12.878,-38.269
0.480,0.825,0.124,-2.258,15.198,-39.734
0.477,0.842,0.132,-4.089,12.634,-40.344
0.458,0.829,0.131,-5.127,14.221,-40.894
0.466,0.814,0.128,-6.836,18.188,-40.527
0.470,0.791,0.135,-10.071,20.569,-40.710
0.460,0.777,0.160,-11.719,23.010,-38.879
0.472,0.777,0.126,-13.550,23.376,-36.194
0.514,0.817,0.112,-13.000,20.996,-33.020
0.514,0.848,0.134,-11.414,15.076,-31.189
0.504,0.859,0.133,-9.033,14.160,-32.532
0.509,0.859,0.102,-7.751,16.174,-34.058
0.527,0.836,0.075,-7.019,16.541,-35.400
0.538,0.826,0.079,-6.348,13.123,-36.255
0.537,0.829,0.137,-6.409,12.817,-35.950
0.573,0.839,0.133,-8.972,16.602,-36.621
0.559,0.862,0.156,-10.620,18.921,-38.147
0.569,0.855,0.160,-11.108,21.423,-40.771
0.605,0.867,0.144,-12.268,25.574,-43.945
0.599,0.830,0.164,-10.681,27.222,-47.363
0.569,0.747,0.110,-8.667,30.090,-50.354
0.520,0.678,0.040,-8.484,30.701,-50.110
0.537,0.675,0.005,-10.132,27.832,-46.021
0.576,0.734,0.020,-10.315,23.621,-40.588
0.629,0.773,0.015,-9.216,21.729,-37.903
0.639,0.813,0.040,-8.057,19.043,-38.635
0.653,0.807,0.020,-6.165,18.921,-42.297
0.654,0.783,-0.001,-3.784,19.104,-45.532
0.630,0.742,0.010,-2.319,18.250,-48.279
0.645,0.701,0.004,-3.845,19.897,-49.805
0.666,0.691,0.020,-6.104,22.034,-49.927
0.643,0.666,0.042,-7.202,21.973,-49.500
0.668,0.636,0.027,-6.592,24.963,-49.011
0.658,0.603,-0.002,-6.714,26.428,-46.753
0.593,0.629,0.045,-8.484,24.780,-43.335
0.693,0.652,0.022,-11.841,31.006,-45.471
0.738,0.667,-0.066,-10.254,35.828,-45.105
0.690,0.647,-0.069,-3.967,27.771,-41.321
0.708,0.646,-0.081,-3.052,25.635,-40.039
0.701,0.644,-0.098,-4.333,22.827,-38.391
0.704,0.642,-0.125,-4.395,21.362,-37.109
0.720,0.662,-0.122,-5.127,17.822,-35.828
0.741,0.695,-0.092,-6.409,13.062,-35.461
0.770,0.688,-0.075,-6.104,9.033,-37.109
0.769,0.664,-0.040,-4.578,7.263,-39.185
0.759,0.618,-0.032,-3.174,7.080,-40.283
0.750,0.575,-0.022,-2.319,6.836,-40.405
0.751,0.536,-0.024,-1.953,8.301,-39.185
0.747,0.498,-0.028,-0.549,9.094,-35.461
0.753,0.526,-0.016,0.122,8.179,-30.640
0.792,0.570,-0.013,0.000,7.690,-27.039
0.806,0.597,-0.031,2.197,8.362,-25.452
0.810,0.617,-0.016,4.272,7.690,-24.719
0.807,0.640,-0.020,3.601,7.996,-25.146
0.800,0.634,-0.022,3.601,9.888,-26.489
0.793,0.641,-0.032,3.113,11.536,-27.832
0.789,0.616,-0.058,0.549,12.634,-30.151
0.784,0.588,-0.074,-0.793,12.451,-31.677
0.793,0.568,-0.103,-2.319,11.108,-31.738
0.792,0.566,-0.104,-3.601,7.568,-30.334
0.790,0.569,-0.066,-3.784,3.113,-28.198
0.801,0.577,-0.040,-3.906,1.099,-27.039
0.812,0.586,-0.023,-3.784,1.892,-26.245
0.807,0.576,-0.037,-3.662,3.601,-25.818
0.787,0.561,-0.033,-4.028,4.150,-25.085
0.789,0.559,-0.044,-5.005,4.639,-24.109
0.802,0.549,-0.073,-5.249,5.188,-23.437
0.816,0.544,-0.081,-5.005,4.272,-22.949
0.834,0.547,-0.076,-5.127,2.075,-22.522
0.853,0.539,-0.074,-4.456,0.244,-22.034
0.860,0.532,-0.065,-4.761,-1.587,-21.423
0.856,0.537,-0.030,-6.531,-2.869,-20.020
0.846,0.532,-0.013,-8.362,-2.502,-18.616
0.842,0.539,-0.013,-10.254,0.000,-17.212
0.852,0.560,-0.026,-11.963,3.174,-16.113
0.857,0.563,-0.050,-12.939,5.493,-16.296
0.855,0.572,-0.069,-11.780,5.859,-16.479
0.865,0.578,-0.088,-10.620,4.883,-17.090
0.867,0.574,-0.091,-8.362,2.136,-18.188
0.854,0.561,-0.082,-6.226,-0.854,-19.226
0.852,0.549,-0.082,-4.578,-1.831,-20.020
0.842,0.529,-0.077,-4.211,-1.587,-19.897
0.840,0.526,-0.075,-4.700,-0.488,-19.653
0.845,0.519,-0.087,-5.066,0.061,-19.470
0.840,0.510,-0.073,-4.578,-0.793,-19.348
0.841,0.497,-0.056,-3.296,-1.221,-19.104
0.852,0.472,-0.070,-1.831,-0.854,-18.921
0.845,0.459,-0.063,-1.099,-1.404,-17.944
0.841,0.461,-0.044,-0.671,-1.892,-16.052
0.859,0.490,-0.043,-1.160,-1.343,-14.099

1.425,-0.501,-0.936,-115.784,-13.855,54.810
1.368,-0.776,-1.004,-162.109,-2.502,62.134
1.259,-1.084,-1.080,-195.923,11.719,74.463
1.169,-1.407,-1.197,-201.050,24.963,96.863
1.017,-1.631,-1.195,-184.631,26.978,116.333
0.938,-1.733,-1.031,-151.611,18.127,140.320
0.717,-1.838,-0.798,-101.929,1.709,161.316
0.435,-1.852,-0.526,-30.334,-15.076,182.922
0.093,-1.761,-0.175,57.190,-37.842,211.670
-0.227,-1.145,0.408,135.803,-70.862,252.319
-0.290,0.049,1.059,195.557,-96.191,300.171
-0.145,1.879,1.599,209.900,-105.774,332.275
0.048,3.723,1.596,189.026,-81.726,318.726
0.195,4.000,0.914,164.917,-30.396,251.465
-0.015,4.000,0.143,133.240,9.155,149.841
-0.260,3.761,-0.022,69.580,9.033,49.866
-0.365,2.905,0.645,-7.263,-24.353,-17.151
-0.373,2.440,1.464,-68.481,-47.180,-43.213
-0.246,2.176,1.785,-94.177,-30.762,-54.016
-0.212,1.803,1.674,-75.806,3.296,-69.885
-0.178,1.454,1.232,-31.860,33.325,-78.979
-0.119,1.216,0.662,13.306,51.208,-79.285
-0.020,1.013,0.135,47.546,59.021,-76.843
0.068,0.828,-0.301,56.091,61.096,-74.341
0.146,0.709,-0.569,42.908,55.908,-69.702
0.213,0.626,-0.641,21.912,43.335,-64.148
0.272,0.571,-0.526,2.441,27.405,-60.181
0.363,0.572,-0.356,-10.864,15.259,-57.007
0.422,0.525,-0.228,-14.038,10.071,-55.603
0.486,0.469,-0.170,-7.446,10.071,-54.810
0.531,0.411,-0.167,1.465,11.353,-52.185
0.590,0.396,-0.175,11.108,10.620,-44.434
0.598,0.404,-0.163,19.531,8.362,-33.875
0.629,0.427,-0.181,25.024,9.338,-23.865
0.670,0.482,-0.222,26.978,11.841,-14.099
0.667,0.521,-0.224,25.208,10.681,-7.629
0.719,0.648,-0.219,22.583,8.972,0.000
0.723,0.726,-0.215,21.851,7.202,3.235
0.730,0.755,-0.255,21.423,6.897,0.977
0.718,0.776,-0.253,21.667,5.615,-1.648
0.705,0.762,-0.255,21.362,3.479,-4.028
0.694,0.742,-0.222,18.127,-1.831,-5.859
0.729,0.739,-0.163,15.503,-5.737,-5.920
0.742,0.781,-0.105,12.695,-7.874,-5.920
0.757,0.757,-0.105,12.451,-7.507,-7.751
0.727,0.769,-0.056,12.817,-7.812,-9.338
0.738,0.753,-0.073,15.869,-6.775,-11.292
0.746,0.736,-0.092,18.066,-5.737,-13.550
0.749,0.728,-0.092,17.029,-5.859,-15.320
0.744,0.718,-0.072,15.808,-6.775,-16.968
0.746,0.710,-0.063,14.648,-5.737,-18.494
0.754,0.719,-0.045,12.451,-4.700,-20.447
0.737,0.675,-0.034,12.390,-4.089,-23.254
0.697,0.676,-0.028,10.803,-2.319,-24.475
0.727,0.657,-0.050,8.362,0.732,-24.658
0.751,0.679,-0.022,5.920,2.319,-24.963
0.764,0.681,0.004,3.174,2.563,-26.611
0.780,0.681,0.041,2.258,5.920,-29.175
0.811,0.672,0.029,0.793,11.597,-31.860
0.797,0.666,0.045,-1.221,15.381,-34.973
0.818,0.657,-0.001,-1.160,17.761,-37.659
0.800,0.619,0.018,1.221,14.221,-39.612
0.777,0.604,0.024,5.310,9.033,-39.795
0.758,0.575,0.022,8.240,7.568,-39.856
0.756,0.532,0.006,11.597,6.714,-38.879
0.760,0.525,-0.006,13.489,5.188,-36.865
0.767,0.500,-0.030,15.259,6.897,-35.095
0.771,0.503,-0.050,13.611,8.118,-32.288
0.776,0.504,-0.081,10.254,9.827,-30.151
0.773,0.494,-0.112,7.874,10.864,-27.893
0.769,0.507,-0.113,5.188,9.033,-24.475
0.785,0.533,-0.092,1.221,6.409,-21.667
0.806,0.561,-0.087,-1.099,5.676,-20.996
0.829,0.565,-0.103,-0.916,4.700,-20.813
0.804,0.562,-0.061,-0.366,-0.916,-20.996
0.815,0.554,-0.041,0.549,-3.235,-21.606
0.833,0.544,-0.046,2.502,-3.418,-22.888
0.849,0.540,-0.066,4.456,-2.930,-23.865
0.844,0.531,-0.073,5.371,-2.808,-24.292
0.820,0.509,-0.056,6.653,-4.089,-24.536
0.818,0.487,-0.065,7.141,-3.845,-23.499
0.813,0.472,-0.093,6.226,-2.563,-21.973
0.800,0.440,-0.128,4.456,-1.099,-19.958
0.769,0.437,-0.105,1.465,-0.549,-17.029
0.782,0.451,-0.086,-2.197,-1.465,-13.916
0.811,0.463,-0.067,-2.014,-2.869,-11.719
0.819,0.455,-0.047,0.244,-4.150,-10.437
