aX,aY,aZ,gX,gY,gZ
0.208,-0.501,0.950,-11.230,-16.846,-5.249
0.221,-0.484,0.953,-10.498,-13.367,-3.174
0.232,-0.463,0.938,-9.827,-8.728,-1.709

0.180,-0.732,1.962,6.165,-18.494,-6.042
0.166,-0.885,2.156,13.916,-14.832,-7.080
0.117,-1.032,2.421,24.231,-13.000,-8.118
0.081,-1.103,2.677,38.696,-10.986,-3.479
0.106,-1.137,2.784,59.631,-0.916,2.441
0.125,-1.123,2.797,80.078,13.000,9.216
0.115,-1.074,2.745,97.778,29.602,14.832
0.121,-1.023,2.649,117.065,50.781,21.606
0.152,-0.944,2.523,137.390,73.059,32.837
0.256,-0.687,2.306,157.715,98.938,45.776
0.326,-0.645,2.096,176.086,119.263,51.086
0.301,-0.409,1.920,192.566,139.526,55.420
0.368,-0.022,1.560,203.674,166.260,61.584
0.454,0.096,1.260,214.294,184.204,53.284
0.394,0.137,1.016,221.985,194.336,39.612
0.216,0.273,0.743,225.647,205.627,33.875
0.049,0.422,0.445,227.783,226.746,32.776
0.051,0.540,-0.285,225.403,262.512,31.738
-0.108,0.593,-0.620,220.703,255.798,26.001
-0.158,0.738,-1.036,204.651,237.000,22.644
-0.162,0.615,-1.503,186.401,214.966,8.240
-0.194,0.518,-1.709,162.415,169.983,-5.432
-0.249,0.399,-1.730,134.216,114.502,-15.869
-0.297,0.230,-1.597,108.398,63.477,-21.484
-0.292,0.108,-1.349,81.116,25.940,-19.775
-0.255,0.021,-1.141,55.054,7.324,-15.991
-0.197,-0.136,-0.958,31.494,0.854,-12.085
-0.135,-0.252,-0.715,10.437,-5.432,-7.019
-0.040,-0.386,-0.499,-6.897,-11.780,-3.601
0.054,-0.525,-0.264,-20.447,-20.874,-2.808
0.164,-0.620,-0.051,-29.541,-32.898,-3.235
0.250,-0.732,0.173,-33.508,-45.715,-6.592
0.298,-0.806,0.340,-34.973,-56.458,-10.986
0.312,-0.875,0.448,-34.302,-60.486,-14.648
0.319,-0.916,0.526,-32.654,-61.035,-16.052
0.353,-0.924,0.569,-30.579,-58.105,-15.076
0.403,-0.942,0.626,-28.992,-52.795,-13.184
0.442,-0.943,0.651,-27.893,-44.495,-10.376
0.463,-0.956,0.643,-26.428,-34.363,-7.690
0.488,-0.951,0.599,-25.208,-25.208,-4.333
0.521,-0.897,0.571,-24.902,-17.761,-1.709
0.545,-0.867,0.536,-22.766,-15.320,0.610
0.576,-0.834,0.502,-21.240,-15.076,1.404
0.568,-0.822,0.466,-18.738,-16.113,-0.366
0.577,-0.784,0.442,-16.968,-20.081,-1.953
0.564,-0.808,0.462,-15.076,-25.146,-4.578
0.519,-0.814,0.507,-14.160,-28.259,-5.920
0.468,-0.816,0.555,-13.672,-24.902,-4.700
0.448,-0.818,0.533,-13.306,-14.771,-1.892
0.434,-0.803,0.510,-12.878,-5.432,2.014
